0,3693,48.4137388568
1,618,8.1017304667
2,481,6.305715784
3,375,4.9160985842
4,312,4.090194022
5,255,3.3429470372
6,251,3.2905086523
7,218,2.8578919769
8,202,2.6481384373
9,179,2.3466177242
10,130,1.7042475092
11,110,1.4420555847
12,89,1.166754064
,,
13,72,0.9438909282
14,84,1.1012060829
15,58,0.760356581
16,57,0.7472469848
17,43,0.5637126377
18,51,0.6685894074
19,35,0.4588358679
20,33,0.4326166754
21,30,0.3932878867
22,27,0.3539590981
23,24,0.3146303094
24,20,0.2621919245
25,11,0.1442055585
26,17,0.2228631358
27,10,0.1310959622
28,12,0.1573151547
29,12,0.1573151547
30,13,0.1704247509
31,15,
32,6,
33,12,
34,6,
35,3,
36,8,
37,5,
38,3,
39,5,
40,3,
41,6,
42,0,
43,0,
44,1,
45,5,
46,2,
47,1,
48,4,
49,1,
50,1,
51,2,
52,2,
53,0,
54,0,
55,3,
56,1,
57,3,
58,0,
59,0,
60,0,
61,0,
62,0,
63,0,
64,0,
65,0,
66,0,
67,0,
68,0,
69,1,
70,1,
71,2,
72,0,
73,1,
74,0,
75,1,
76,0,
77,0,
78,0,
79,0,
80,0,
81,0,
82,0,
83,0,
84,1,
85,0,
86,0,
87,0,
88,0,
89,0,
90,0,
91,0,
92,0,
93,0,
94,0,
95,0,
96,0,
97,1,
98,0,
99,0,
100,0,
101,0,
,7628,
